teacher_forcing_horizon,mse,ssim,snr
0,0.008042889647185802,0.8375586207989422,-2.2506871223449707
1,0.008042889647185802,0.8375586207989422,-2.2506871223449707
3,0.008501225151121616,0.8086859718250374,-2.5557167530059814
5,0.008933700621128082,0.8048850220928014,-2.799175500869751
10,0.009355045855045319,0.8196312070718234,-3.0778331756591797
15,0.006803036667406559,0.8984983816578095,-1.567868947982788
