dataset,npz_file,arch,nt,batch_size,horizon_ttf,metric_scope,eval_t_start,eval_t_end_exclusive,n_frame_samples,model_mse_mean,model_mse_std,model_snr_db_mean,model_snr_db_std,model_ssim_mean,model_ssim_std,base_prev_gt_mse_mean,base_prev_gt_mse_std,base_prev_gt_snr_db_mean,base_prev_gt_snr_db_std,base_prev_gt_ssim_mean,base_prev_gt_ssim_std,base_prev_pred_mse_mean,base_prev_pred_mse_std,base_prev_pred_snr_db_mean,base_prev_pred_snr_db_std,base_prev_pred_ssim_mean,base_prev_pred_ssim_std
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,8,0,extrap_only,1,20,152,0.012313409294859556,0.004949791132758771,-1.055224914903468,0.7547836747917296,0.806930209232538,0.0545663994528399,0.013359881821088493,0.003644021277374118,-1.5929567248992154,0.40965147005833935,0.8691279038602269,0.015154218407567812,0.012272431711225133,0.004961405242016017,-1.036799286818777,0.7955210548010405,0.8092751427378255,0.054700025503273894
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,8,10,extrap_only,10,20,80,0.01277835190994665,0.00477447129203058,-1.2286152757081836,0.6175298805998526,0.7886650540002198,0.050773136278903196,0.013317702629137784,0.003530494384726132,-1.5900368326535532,0.4158470747804791,0.868333662125291,0.015064146945269514,0.013348698930349201,0.004837871432531926,-1.4325984817193138,0.5559393995017172,0.7864166833573736,0.04693933752591879
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,8,19,extrap_only,19,20,8,0.010899912507738918,0.0031188744664595995,-0.7201928973541707,0.45378910627948166,0.8661462518978876,0.010164017122356027,0.01322779932525009,0.003431333585434033,-1.5775494101836378,0.4558045305982131,0.8684509076794278,0.011179303774789163,0.01368056470528245,0.0041889266830719574,-1.678490575835554,0.3683722120890749,0.8370620190297305,0.012103103229920724
